"ISO","variable","value","typeIneq","variable1"
"HUN","HO_NUMR",1.2,"average","HO_NUMR"
"ISL","HO_NUMR",1.6,"average","HO_NUMR"
"IRL","HO_NUMR",2.1,"average","HO_NUMR"
"ISR","HO_NUMR",1.15,"average","HO_NUMR"
"ITA","HO_NUMR",1.4,"average","HO_NUMR"
"JPN","HO_NUMR",1.89,"average","HO_NUMR"
"KOR","HO_NUMR",1.43,"average","HO_NUMR"
"LVA","HO_NUMR",1.2,"average","HO_NUMR"
"LUX","HO_NUMR",2,"average","HO_NUMR"
"MEX","HO_NUMR",1.03,"average","HO_NUMR"
"NLD","HO_NUMR",1.9,"average","HO_NUMR"
"NZL","HO_NUMR",2.36,"average","HO_NUMR"
"NOR","HO_NUMR",2.1,"average","HO_NUMR"
"POL","HO_NUMR",1.1,"average","HO_NUMR"
"PRT","HO_NUMR",1.7,"average","HO_NUMR"
"SVK","HO_NUMR",1.1,"average","HO_NUMR"
"SVN","HO_NUMR",1.5,"average","HO_NUMR"
"ESP","HO_NUMR",1.9,"average","HO_NUMR"
"SWE","HO_NUMR",1.8,"average","HO_NUMR"
"CHE","HO_NUMR",1.9,"average","HO_NUMR"
"TUR","HO_NUMR",1,"average","HO_NUMR"
"GBR","HO_NUMR",2,"average","HO_NUMR"
"USA","HO_NUMR",2.36,"average","HO_NUMR"
"OECD","HO_NUMR",1.8,"average","HO_NUMR"
"AUS","HO_EXP",20.26,"average","HO_EXP"
"AUT","HO_EXP",21.34,"average","HO_EXP"
"BEL","HO_EXP",20.53,"average","HO_EXP"
"CAN","HO_EXP",22.51,"average","HO_EXP"
"CHL","HO_EXP",18.25,"average","HO_EXP"
"CZE","HO_EXP",23.96,"average","HO_EXP"
"DNK","HO_EXP",23.65,"average","HO_EXP"
"EST","HO_EXP",17.74,"average","HO_EXP"
"FIN","HO_EXP",22.79,"average","HO_EXP"
"FRA","HO_EXP",20.95,"average","HO_EXP"
"DEU","HO_EXP",20.41,"average","HO_EXP"
"GRC","HO_EXP",23.74,"average","HO_EXP"
"HUN","HO_EXP",18.44,"average","HO_EXP"
"ISL","HO_EXP",24.42,"average","HO_EXP"
"IRL","HO_EXP",20.77,"average","HO_EXP"
"ISR","HO_EXP",,"average","HO_EXP"
"ITA","HO_EXP",23.49,"average","HO_EXP"
"JPN","HO_EXP",22.3,"average","HO_EXP"
"KOR","HO_EXP",15.21,"average","HO_EXP"
"LVA","HO_EXP",23.2,"average","HO_EXP"
"LUX","HO_EXP",,"average","HO_EXP"
"MEX","HO_EXP",20.7,"average","HO_EXP"
"NLD","HO_EXP",19.53,"average","HO_EXP"
"NZL","HO_EXP",25.32,"average","HO_EXP"
"NOR","HO_EXP",17.29,"average","HO_EXP"
"POL","HO_EXP",22.58,"average","HO_EXP"
"PRT","HO_EXP",21.09,"average","HO_EXP"
"SVK","HO_EXP",23.65,"average","HO_EXP"
"SVN","HO_EXP",18.29,"average","HO_EXP"
"ESP","HO_EXP",21.75,"average","HO_EXP"
"SWE","HO_EXP",19.64,"average","HO_EXP"
"CHE","HO_EXP",21.46,"average","HO_EXP"
"TUR","HO_EXP",20.95,"average","HO_EXP"
"GBR","HO_EXP",23.62,"average","HO_EXP"
"USA","HO_EXP",18.45,"average","HO_EXP"
"OECD","HO_EXP",20.52,"average","HO_EXP"
"AUS","WL_EWLH",13.39,"average","WL_EWLH"
"AUT","WL_EWLH",7.32,"average","WL_EWLH"
"BEL","WL_EWLH",4.73,"average","WL_EWLH"
"CAN","WL_EWLH",3.83,"average","WL_EWLH"
"CHL","WL_EWLH",13.84,"average","WL_EWLH"
"CZE","WL_EWLH",5.99,"average","WL_EWLH"
"DNK","WL_EWLH",2.21,"average","WL_EWLH"
"EST","WL_EWLH",3.29,"average","WL_EWLH"
"FIN","WL_EWLH",3.6,"average","WL_EWLH"
"FRA","WL_EWLH",7.77,"average","WL_EWLH"
"DEU","WL_EWLH",4.96,"average","WL_EWLH"
"GRC","WL_EWLH",6.37,"average","WL_EWLH"
"HUN","WL_EWLH",3.76,"average","WL_EWLH"
"ISL","WL_EWLH",,"average","WL_EWLH"
"IRL","WL_EWLH",4.11,"average","WL_EWLH"
"ISR","WL_EWLH",14.74,"average","WL_EWLH"
"ITA","WL_EWLH",3.83,"average","WL_EWLH"
"JPN","WL_EWLH",,"average","WL_EWLH"
"KOR","WL_EWLH",,"average","WL_EWLH"
"LVA","WL_EWLH",2.45,"average","WL_EWLH"
"LUX","WL_EWLH",3.27,"average","WL_EWLH"
"MEX","WL_EWLH",28.28,"average","WL_EWLH"
"NLD","WL_EWLH",0.44,"average","WL_EWLH"
"NZL","WL_EWLH",13.78,"average","WL_EWLH"
"NOR","WL_EWLH",3.05,"average","WL_EWLH"
"POL","WL_EWLH",7.25,"average","WL_EWLH"
"PRT","WL_EWLH",9.77,"average","WL_EWLH"
"SVK","WL_EWLH",6.23,"average","WL_EWLH"
"SVN","WL_EWLH",5.5,"average","WL_EWLH"
"ESP","WL_EWLH",5.61,"average","WL_EWLH"
"SWE","WL_EWLH",1.1,"average","WL_EWLH"
"CHE","WL_EWLH",,"average","WL_EWLH"
"TUR","WL_EWLH",39.26,"average","WL_EWLH"
"GBR","WL_EWLH",12.83,"average","WL_EWLH"
"USA","WL_EWLH",11.69,"average","WL_EWLH"
"OECD","WL_EWLH",13.14,"average","WL_EWLH"
"AUS","WL_LEPC",14.35,"average","WL_LEPC"
"AUT","WL_LEPC",14.55,"average","WL_LEPC"
"BEL","WL_LEPC",15.77,"average","WL_LEPC"
"CAN","WL_LEPC",14.41,"average","WL_LEPC"
"CHL","WL_LEPC",,"average","WL_LEPC"
"CZE","WL_LEPC",,"average","WL_LEPC"
"DNK","WL_LEPC",15.87,"average","WL_LEPC"
"EST","WL_LEPC",14.9,"average","WL_LEPC"
"FIN","WL_LEPC",15.17,"average","WL_LEPC"
"FRA","WL_LEPC",16.36,"average","WL_LEPC"
"DEU","WL_LEPC",15.55,"average","WL_LEPC"
"GRC","WL_LEPC",,"average","WL_LEPC"
"HUN","WL_LEPC",,"average","WL_LEPC"
"ISL","WL_LEPC",,"average","WL_LEPC"
"IRL","WL_LEPC",,"average","WL_LEPC"
"ISR","WL_LEPC",,"average","WL_LEPC"
"ITA","WL_LEPC",14.89,"average","WL_LEPC"
"JPN","WL_LEPC",14.85,"average","WL_LEPC"
"KOR","WL_LEPC",14.7,"average","WL_LEPC"
"LVA","WL_LEPC",13.83,"average","WL_LEPC"
"LUX","WL_LEPC",,"average","WL_LEPC"
"MEX","WL_LEPC",,"average","WL_LEPC"
"NLD","WL_LEPC",,"average","WL_LEPC"
"NZL","WL_LEPC",14.87,"average","WL_LEPC"
"NOR","WL_LEPC",15.56,"average","WL_LEPC"
"POL","WL_LEPC",14.42,"average","WL_LEPC"
"PRT","WL_LEPC",,"average","WL_LEPC"
"SVK","WL_LEPC",,"average","WL_LEPC"
"SVN","WL_LEPC",14.75,"average","WL_LEPC"
"ESP","WL_LEPC",15.93,"average","WL_LEPC"
"SWE","WL_LEPC",15.18,"average","WL_LEPC"
"CHE","WL_LEPC",,"average","WL_LEPC"
"TUR","WL_LEPC",,"average","WL_LEPC"
"GBR","WL_LEPC",14.87,"average","WL_LEPC"
"USA","WL_LEPC",14.47,"average","WL_LEPC"
"OECD","WL_LEPC",14.9,"average","WL_LEPC"
"AUS","HS_LEB",82.4,"average","HS_LEB"
"AUT","HS_LEB",81.6,"average","HS_LEB"
"BEL","HS_LEB",81.4,"average","HS_LEB"
"CAN","HS_LEB",81.5,"average","HS_LEB"
"CHL","HS_LEB",79,"average","HS_LEB"
"CZE","HS_LEB",78.9,"average","HS_LEB"
"DNK","HS_LEB",80.8,"average","HS_LEB"
"EST","HS_LEB",77.2,"average","HS_LEB"
"FIN","HS_LEB",81.3,"average","HS_LEB"
"FRA","HS_LEB",82.8,"average","HS_LEB"
"DEU","HS_LEB",81.2,"average","HS_LEB"
"GRC","HS_LEB",81.5,"average","HS_LEB"
"HUN","HS_LEB",75.9,"average","HS_LEB"
"ISL","HS_LEB",82.9,"average","HS_LEB"
"IRL","HS_LEB",81,"average","HS_LEB"
"ISR","HS_LEB",82.2,"average","HS_LEB"
"ITA","HS_LEB",83.2,"average","HS_LEB"
"JPN","HS_LEB",83.7,"average","HS_LEB"
"KOR","HS_LEB",82.2,"average","HS_LEB"
"LVA","HS_LEB",74.3,"average","HS_LEB"
"LUX","HS_LEB",82.3,"average","HS_LEB"
"MEX","HS_LEB",75,"average","HS_LEB"
"NLD","HS_LEB",81.8,"average","HS_LEB"
"NZL","HS_LEB",81.6,"average","HS_LEB"
"NOR","HS_LEB",82.2,"average","HS_LEB"
"POL","HS_LEB",77.7,"average","HS_LEB"
"PRT","HS_LEB",80.8,"average","HS_LEB"
"SVK","HS_LEB",76.9,"average","HS_LEB"
"SVN","HS_LEB",81.2,"average","HS_LEB"
"ESP","HS_LEB",83.3,"average","HS_LEB"
"SWE","HS_LEB",82.3,"average","HS_LEB"
"CHE","HS_LEB",83.3,"average","HS_LEB"
"TUR","HS_LEB",78,"average","HS_LEB"
"GBR","HS_LEB",81,"average","HS_LEB"
"USA","HS_LEB",78.8,"average","HS_LEB"
"OECD","HS_LEB",80.2,"average","HS_LEB"
"AUS","HS_SFRH",85.2,"average","HS_SFRH"
"AUT","HS_SFRH",69.5,"average","HS_SFRH"
"BEL","HS_SFRH",75,"average","HS_SFRH"
"CAN","HS_SFRH",88.1,"average","HS_SFRH"
"CHL","HS_SFRH",59.1,"average","HS_SFRH"
"CZE","HS_SFRH",60.7,"average","HS_SFRH"
"DNK","HS_SFRH",72.4,"average","HS_SFRH"
"EST","HS_SFRH",51.8,"average","HS_SFRH"
"FIN","HS_SFRH",69.2,"average","HS_SFRH"
"FRA","HS_SFRH",68.1,"average","HS_SFRH"
"DEU","HS_SFRH",65.2,"average","HS_SFRH"
"GRC","HS_SFRH",73.5,"average","HS_SFRH"
"HUN","HS_SFRH",57.5,"average","HS_SFRH"
"ISL","HS_SFRH",76.1,"average","HS_SFRH"
"IRL","HS_SFRH",82.5,"average","HS_SFRH"
"ISR","HS_SFRH",84.3,"average","HS_SFRH"
"ITA","HS_SFRH",67.9,"average","HS_SFRH"
"JPN","HS_SFRH",35.4,"average","HS_SFRH"
"KOR","HS_SFRH",32.5,"average","HS_SFRH"
"LVA","HS_SFRH",45.8,"average","HS_SFRH"
"LUX","HS_SFRH",72.8,"average","HS_SFRH"
"MEX","HS_SFRH",65.5,"average","HS_SFRH"
"NLD","HS_SFRH",77.3,"average","HS_SFRH"
"NZL","HS_SFRH",88.9,"average","HS_SFRH"
"NOR","HS_SFRH",78.5,"average","HS_SFRH"
"POL","HS_SFRH",58.1,"average","HS_SFRH"
"PRT","HS_SFRH",45.9,"average","HS_SFRH"
"SVK","HS_SFRH",64.7,"average","HS_SFRH"
"SVN","HS_SFRH",64.8,"average","HS_SFRH"
"ESP","HS_SFRH",72.6,"average","HS_SFRH"
"SWE","HS_SFRH",80.1,"average","HS_SFRH"
"CHE","HS_SFRH",79.3,"average","HS_SFRH"
"TUR","HS_SFRH",68.1,"average","HS_SFRH"
"GBR","HS_SFRH",70,"average","HS_SFRH"
"USA","HS_SFRH",88.1,"average","HS_SFRH"
"OECD","HS_SFRH",69.1,"average","HS_SFRH"
"AUS","ES_EDUA",79,"average","ES_EDUA"
"AUT","ES_EDUA",84.6,"average","ES_EDUA"
"BEL","ES_EDUA",74.7,"average","ES_EDUA"
"CAN","ES_EDUA",90.4,"average","ES_EDUA"
"CHL","ES_EDUA",61.4,"average","ES_EDUA"
"CZE","ES_EDUA",93.2,"average","ES_EDUA"
"DNK","ES_EDUA",80.4,"average","ES_EDUA"
"EST","ES_EDUA",90.9,"average","ES_EDUA"
"FIN","ES_EDUA",87.2,"average","ES_EDUA"
"FRA","ES_EDUA",77.3,"average","ES_EDUA"
"DEU","ES_EDUA",86.8,"average","ES_EDUA"
"GRC","ES_EDUA",70.2,"average","ES_EDUA"
"HUN","ES_EDUA",83.2,"average","ES_EDUA"
"ISL","ES_EDUA",74.7,"average","ES_EDUA"
"IRL","ES_EDUA",79.8,"average","ES_EDUA"
"ISR","ES_EDUA",85.5,"average","ES_EDUA"
"ITA","ES_EDUA",59.9,"average","ES_EDUA"
"JPN","ES_EDUA",,"average","ES_EDUA"
"KOR","ES_EDUA",85.8,"average","ES_EDUA"
"LVA","ES_EDUA",87.8,"average","ES_EDUA"
"LUX","ES_EDUA",74.6,"average","ES_EDUA"
"MEX","ES_EDUA",35.5,"average","ES_EDUA"
"NLD","ES_EDUA",76.4,"average","ES_EDUA"
"NZL","ES_EDUA",74.7,"average","ES_EDUA"
"NOR","ES_EDUA",82.4,"average","ES_EDUA"
"POL","ES_EDUA",90.8,"average","ES_EDUA"
"PRT","ES_EDUA",45.1,"average","ES_EDUA"
"SVK","ES_EDUA",91.3,"average","ES_EDUA"
"SVN","ES_EDUA",86.8,"average","ES_EDUA"
"ESP","ES_EDUA",57.4,"average","ES_EDUA"
"SWE","ES_EDUA",82,"average","ES_EDUA"
"CHE","ES_EDUA",88.2,"average","ES_EDUA"
"TUR","ES_EDUA",37,"average","ES_EDUA"
"GBR","ES_EDUA",79.1,"average","ES_EDUA"
"USA","ES_EDUA",89.5,"average","ES_EDUA"
"OECD","ES_EDUA",73.7,"average","ES_EDUA"
"AUS","ES_ADCO",274,"average","ES_ADCO"
"AUT","ES_ADCO",272,"average","ES_ADCO"
"BEL","ES_ADCO",278,"average","ES_ADCO"
